Date,Tech_ETF,Semiconductor_ETF
2015-01-02,24.36831283569336,36.375244140625
2015-01-05,23.93452262878418,35.819969177246094
2015-01-06,23.371042251586914,35.388084411621094
2015-01-07,23.675140380859375,35.6877555847168
2015-01-08,24.265453338623047,36.47220993041992
2015-01-09,24.19390296936035,36.35762405395508
2015-01-12,23.88532829284668,35.93453598022461
2015-01-13,23.751169204711914,35.90810775756836
2015-01-14,23.661724090576172,35.70539093017578
2015-01-15,23.791418075561523,35.247074127197266
2015-01-16,23.983718872070312,35.59080505371094
2015-01-20,24.220733642578125,35.89048385620117
2015-01-21,24.53377914428711,35.95219039916992
2015-01-22,24.752910614013672,36.542720794677734
2015-01-23,24.645580291748047,36.533897399902344
2015-01-26,24.650053024291992,36.384056091308594
2015-01-27,24.158126831054688,35.335208892822266
2015-01-28,23.952407836914062,35.27349090576172
2015-01-29,24.08657455444336,35.608436584472656
2015-01-30,23.581228256225586,35.16773223876953
2015-02-02,23.625951766967773,35.52910614013672
2015-02-03,23.96135711669922,35.93453598022461
2015-02-04,24.13129234313965,36.00505065917969
2015-02-05,24.372785568237305,36.33999252319336
2015-02-06,24.113405227661133,36.22541809082031
2015-02-09,23.795888900756836,36.172523498535156
2015-02-10,24.57849884033203,36.710182189941406
2015-02-11,24.72160530090332,36.85120391845703
2015-02-12,25.0704288482666,37.35360336303711
2015-02-13,25.21800422668457,37.59157943725586
2015-02-17,25.32533836364746,37.60920715332031
2015-02-18,25.240367889404297,37.64445877075195
2015-02-19,25.2537841796875,37.77666473388672
2015-02-20,25.37005615234375,37.970577239990234
2015-02-23,25.186704635620117,37.99702453613281
2015-02-24,25.705461502075195,38.11161422729492
2015-02-25,25.531049728393555,37.873626708984375
2015-02-26,25.624963760375977,38.11161422729492
2015-02-27,25.477386474609375,37.9793815612793
2015-03-02,26.1481990814209,38.27907180786133
2015-03-03,25.7188777923584,38.023460388183594
2015-03-04,25.678630828857422,37.873626708984375
2015-03-05,25.66968536376953,37.82955551147461
2015-03-06,25.34769630432129,37.36241149902344
2015-03-09,25.25825309753418,37.538700103759766
2015-03-10,24.74397087097168,36.771873474121094
2015-03-11,24.927326202392578,36.533897399902344
2015-03-12,24.788686752319336,36.771873474121094
2015-03-13,24.994403839111328,36.56914520263672
2015-03-16,25.32533836364746,37.001033782958984
2015-03-17,25.155397415161133,37.009857177734375
2015-03-18,25.38794708251953,37.51225662231445
2015-03-19,25.41925048828125,37.4064826965332
2015-03-20,25.82173728942871,37.648094177246094
2015-03-23,25.593658447265625,37.648094177246094
2015-03-24,25.361114501953125,37.52418899536133
2015-03-25,24.176013946533203,36.559532165527344
2015-03-26,24.001602172851562,36.586097717285156
2015-03-27,24.770803451538086,36.61263656616211
2015-03-30,24.980987548828125,37.05514144897461
2015-03-31,24.73055076599121,36.67457580566406
2015-04-01,24.489059448242188,36.621490478515625
2015-04-02,24.556142807006836,36.61263656616211
2015-04-06,24.61874771118164,36.96663284301758
2015-04-07,24.632165908813477,36.88697814941406
2015-04-08,24.752910614013672,37.002037048339844
2015-04-09,24.99887466430664,37.0993766784668
2015-04-10,25.146453857421875,37.240989685058594
2015-04-13,24.9720458984375,37.13478469848633
2015-04-14,24.74397087097168,37.01974105834961
2015-04-15,25.204587936401367,37.34718704223633
2015-04-16,25.09278678894043,37.21442413330078
2015-04-17,24.770803451538086,36.70114517211914
2015-04-20,24.97651481628418,37.3294792175293
2015-04-21,25.137510299682617,37.31178665161133
2015-04-22,25.593658447265625,37.69234848022461
2015-04-23,25.329809188842773,37.84278869628906
2015-04-24,25.06148338317871,38.17024230957031
2015-04-27,25.26272964477539,38.27644729614258
2015-04-28,25.244836807250977,38.400352478027344
2015-04-29,25.06148338317871,38.2144889831543
2015-04-30,24.80210304260254,37.6834831237793
2015-05-01,25.508691787719727,38.14370346069336
2015-05-04,25.37005615234375,38.17909240722656
2015-05-05,24.887075424194336,37.58613204956055
2015-05-06,24.882604598999023,37.26752471923828
2015-05-07,25.06148338317871,37.54188537597656
2015-05-08,25.298503875732422,38.08174133300781
2015-05-11,25.28955841064453,37.88703536987305
2015-05-12,25.09726333618164,37.6834831237793
2015-05-13,25.22248077392578,37.84278869628906
2015-05-14,25.481857299804688,38.45343780517578
2015-05-15,25.517637252807617,38.32954788208008
2015-05-18,25.741241455078125,38.5153923034668
2015-05-19,25.696517944335938,38.41804504394531
2015-05-20,25.77254295349121,38.44459915161133
2015-05-21,25.82173728942871,38.612754821777344
2015-05-22,25.844097137451172,38.58619689941406
2015-05-26,25.638383865356445,38.02864456176758
2015-05-27,26.595407485961914,38.7454948425293
2015-05-28,26.631181716918945,38.66584396362305
2015-05-29,26.747455596923828,38.38264465332031
2015-06-01,26.653541564941406,38.48883819580078
2015-06-02,26.273414611816406,38.4091911315918
2015-06-03,26.09006118774414,38.48883819580078
2015-06-04,25.7814884185791,38.13483428955078
2015-06-05,25.705461502075195,38.01094436645508
2015-06-08,25.244836807250977,37.58613204956055
2015-06-09,25.27167320251465,37.49763107299805
2015-06-10,25.65627098083496,38.08174133300781
2015-06-11,25.68757438659668,38.09944152832031
2015-06-12,25.468446731567383,37.76314163208008
2015-06-15,25.39689064025879,37.53304672241211
2015-06-16,25.508691787719727,37.78084182739258
2015-06-17,25.531049728393555,37.79853820800781
2015-06-18,25.89328956604004,38.13483428955078
2015-06-19,25.799375534057617,37.817474365234375
2015-06-22,26.022979736328125,38.12861251831055
2015-06-23,25.897762298583984,38.155296325683594
2015-06-24,25.696517944335938,37.97749710083008
